露營場名稱,地址,標題
斗內籽露營區,魚池鄉日月潭中山路270 巷10 號,【露營趣】南投.斗內籽 ★日月潭鬧中取靜的營地、漂亮的巴西地毯草 NO.53
伴天聊,南投縣仁愛鄉新生村山林巷18附1/ 往惠蓀林場方向,【露營趣】南投.伴天聊 ★親子營地：戲水池、遊樂設施、動物區、親子衛浴，窩在翠綠的楓樹林裡 NO.127
波斯園露營區,南投縣鹿谷鄉永隆村堀邊巷1之27號,【露營趣】南投.波斯園露營區  *麒麟湖畔的美好風光、與妖怪有約 NO:19 (2019.3.10結束營業)
森之境露營區,南投縣國姓鄉南港二號橋 附近,【露營趣】南投.森之境露營區 ★樹林下露營，木造小木屋 NO.268
滿天馨露營區,南投縣仁愛鄉仁和路,【露營趣】南投.滿天馨 ★面湖景營地、沙坑、玩樂大泡泡、 NO.144
愛和華林園,清境小瑞士花園附近,【露營趣】南投.愛和華林園 ★茶園中的營地、拜訪Nina妮娜巧克力工坊、雨中浪漫的清境、終於住民宿啦
港療枝179農場景觀農場,南投縣國姓鄉南港村長石巷,【露營趣】南投.港寮枝179 ★我的天空城堡，值得拜訪的露營區 NO.111
七里山瑭,南投縣埔里鎮鯉魚路23號,【露營趣】南投.七里山瑭 ★日式風格民宿、下雨天嗑龍蝦、鯉魚潭風景區 NO.43
大鞍松林,南投縣竹山鎮竹寮巷8號,【露營趣】南投.大鞍松林 ★小巧溫馨的營地、螢火蟲飛舞，拜訪孟宗竹蔭林道 NO.198
武界台興茶園露營區,南投縣仁愛鄉法治村茶園巷13-2號,【露營趣】南投.武界台興茶園 ★武界迷人的雲海與日出、茶園中的營地 NO.56
水秀休閒農場,南投縣國姓鄉北港村長北路61號,【露營趣】南投.水秀農場 ★繪一幅南洋杉為背景的露營夢 NO.147
水鄉山岳民宿,南投縣水里鄉金龍路8巷2號,【露營趣】南投.水鄉山岳露營趣 *露營搭上自行車環湖、全球最美十大自行車道就在日月潭 NO:24
玉山星空,南投縣信義鄉東埔村開高巷30號,【露營趣】南投.玉山星空 ★睡在肖楠樹下，攀登玉山前哨站，舒服的泡湯去 NO.104
青青草原露營客棧,南投縣仁愛鄉大同村仁和路179之5號,【露營趣】南投.青青草原露營客棧 *避暑勝地、羊兒零距離、登山樂  NO:11
橫山仙境露營區,南投市永興里八卦路1號對面,【露營趣】南投.橫山仙境露營區 *豔陽、美麗夜景  NO:06
一二山嶺露營區,南投縣鹿谷鄉竹林村田頭巷54之108號,【露營趣】南投.一二山嶺露營區 ★夢幻竹林營地、茶園中露營、大崙尾山三角點  NO.324
二甲Lohas農庄,南投縣埔里鎮鯉魚路44號,【露營趣】南投.二甲Lohas農莊 *用心經營的樂活農庄、襪子工廠、百寶村  NO:17
山中流域,南投縣水里鄉水里五路,【露營趣】南投.山中流域 ★綠意盎然的露營區、適合親子露營的好地方、兩帳一衛浴  NO.309
大塊森林露營區,南投縣仁愛鄉山林巷54618號附2,【露營趣】南投. 大塊森林露營區 ★漂亮的森林露營區、新增落羽松E區、白沙坑、可住宿  NO.298
採茶媽媽景觀露營區,南投仁愛鄉關頭山,【露營趣】南投.採茶媽媽景觀露營區 ★視野遼闊的高海拔營地、關頭山山頂  NO.275
黃金森林,南投縣國姓鄉長福村長雙巷9號,【露營趣】南投.黃金森林 (3訪) ★睡在落羽松下，餐廳、戲水池、沙坑、導覽 NO.238
黃金森林,南投縣國姓鄉長福村長雙巷9號,【露營趣】南投.黃金森林 ★今夜睡在落羽松下，採果樂、戲水池、沙坑、釣魚、蚊子電影院，親子營地(二訪) NO.150
黃金森林,南投縣國姓鄉長福村長雙巷9號,【露營趣】南投.黃金森林 ★黃金楓樹下耍浪漫、可以釣魚、玩水的營地 NO.105
森春自在,南投縣魚池鄉平和巷,【露營趣】南投.森春自在 ★適合包場的小營地、落羽松環繞、泥炭土盆地初體驗 NO.112
綠野逸境露營區,南投縣國姓鄉長流村大長路587之一號,【露營趣】南投.綠野逸境露營區 ★嶄新露營區、溫馨營地 NO.270
樟湖山居露營區,南投縣國姓鄉港頭巷10-8號,【露營趣】南投.樟湖山居民宿 ★樹林、視野通吃的露營區，乾濕分離衛浴，優質民宿  NO.315
龍泉,南投縣埔里鎮麒麟里武界路28-10號,【露營趣】南投.龍泉營地 ★翠綠大草地、瀑布、戲水池、生態豐富的環境 NO.79
暮雲春樹,南投縣埔里鎮種瓜路33-3號,【露營趣】南投.暮雲春樹 ★傳說中很親切的營主、尋找家的氛圍 NO.57
山林好蒔光露營區,南投縣仁愛鄉高峰巷70附1號,【露營趣】南投.山林好蒔光 ★180度遼闊的山景，雲海大景報到  NO.316
樹寄屋籬(本草奇花園)露營區,南投縣草屯鎮坪頂里富頂路股坑巷22-31號,【露營趣】南投.樹寄屋籬(本草奇花園)露營區 *滑草、迷宮、盪鞦韆  NO:05
魚雅筑露營區,南投縣魚池鄉五城村華龍巷56-2號,【露營趣】南投. 魚雅筑民宿露營區 ★親子露營區、可戲水、住宿  NO.295
蘇格蘭高地,南投縣仁愛鄉大同村榮光巷8-9號,【露營趣】南投.蘇格蘭高地 ★炎炎夏日避暑去、初登合歡山北峰、翻騰的雲海 NO.131
羅氏後花園,南投縣國姓鄉南港路110-13號,【露營趣】南投.羅氏後花園 ★帶著孩子抓蝦摸蛤俐去，拜訪北山冰店 NO.55
沐光山居 I 館-自然生態園區,南投市國姓鄉北港村北圳巷51號,【露營趣】南投.沐光山居一館 ★豐富的親子營地、孩子的歡樂王國、三代同遊露營區沒問題 (二訪) NO.184
沐光山居,南投市國姓鄉北港村北圳巷51號,【露營趣】南投.沐光山居一館 ★豐富的親子營地、孩子的歡樂王國、三代同遊露營區沒問題 (二訪) NO.184
沐光山居,南投市國姓鄉北港村北圳巷51號,【露營趣】南投.沐光山居-露頂計自然生態園區 ★優質親子營地，泳池、攀樹體驗、釣魚、沙坑、划船，還有免費早餐吃到飽 NO.148
沐光山居一館,南投縣國姓鄉長北路90-2號 ,【露營趣】南投.沐光山居2館-歐瑪魯渡假莊園 ★全新親子露營場，手搖船、釣魚、攀岩、滑草、泳池、歐式民宿、氣墊城堡、早餐吃到飽，給你不一樣的露營體驗 NO.175
翠湖渡假中心,南投縣魚池鄉中正路338-1號,【露營趣】南投.翠湖渡假中心 ★日月潭湖景露營區，湖景第一排、視野療癒系露營  NO.318
忘憂天空渡假村,南投縣竹山鎮田南巷22-2,【露營趣】南投.忘憂天空渡假村 ★充滿童趣的小木屋、結合民宿的露營環境、餐廳vs交誼廳  NO.320
張家堡森林梅園露營區,南投縣信義鄉自強村烏松崙產業道路7公里處,【露營趣】南投.張家堡梅園 ★森林系露營區、櫻花陸續綻放中 NO.245
張家堡露營區,南投縣信義鄉烏松崙產業道路7公里處,【露營趣】南投.張家堡森林梅園露營區 ★綠意盎然的營地、滿山梅花齊開放 NO.117
張家堡森林梅園露營區,南投縣信義鄉自強村烏松崙產業道路7公里處,【露營趣】南投.張家堡森林梅園露營區 ★綠意盎然的營地、滿山梅花齊開放 NO.117
大鞍竹海雲頂星空露營區,南投縣竹山鎮大鞍段 (大鞍竹海內),【露營趣】南投. 大鞍竹海雲頂星空露營區 ★竹海中的露營區、走訪八卦茶園與竹山天梯  NO.288
日月山莊,南投縣魚池鄉魚池街443-36號,【露營趣】南投.日月山莊休閒農場 ★睡在五葉松的芬多精下、超大雨棚區 NO.73
桃米落羽松露營秘境,南投縣埔里鎮水上巷26之1號,【露營趣】南投.桃米落羽松露營秘境 ★異國風情露營區、百帳團露露營區  NO.322
川中島落羽松露營秘境,南投縣仁愛鄉互助村清風路27-1號,【露營趣】南投.川中島落羽松祕境 ★落羽松營地，有戲水池、沙坑、溪流，聖誕大團露 NO.153
